,Date,Time,CMP10_GHI_Avg,CMP10_DHI_Avg,CHP1_DNI_Avg,Tilt,T2,T3,T1,T4,Flow,Efficiency,Clearness,Incidence Angle,ZenDeg,AzDeg
59,2023-02-02,09:59:00,245.7263,242.887,2.569737,237.25084745762712,42.25423728813559,40.86440677966102,20.093220338983052,20.33050847457627,0.8000000000000002,0.5136579758019909,0.3621966604551662,44.526950033775414,60.94,134
60,2023-02-02,10:00:00,244.6091,241.9568,2.083456,250.16610169491526,42.38559322033898,41.13559322033898,20.266949152542374,20.406779661016948,0.8000000000000002,0.43812932095371326,0.3627110576922967,44.304192470731046,60.79,134.3
61,2023-02-02,10:01:00,248.8277,246.2224,2.234452,257.02372881355933,42.66949152542373,41.45762711864407,20.449152542372882,20.444915254237287,0.8000000000000002,0.4134311467099619,0.3706295979213851,44.08167953661365,60.63,134.5
62,2023-02-02,10:02:00,257.8266,255.1319,2.790779,256.26779661016946,43.067796610169495,41.847457627118644,20.70762711864407,20.720338983050848,0.8000000000000002,0.4175529348275331,0.3846760593900538,43.859415066322796,60.48,134.7
63,2023-02-02,10:03:00,270.554,267.9033,2.848448,266.6694915254238,43.38135593220339,42.11864406779661,20.78813559322034,20.89406779661017,0.8000000000000002,0.4152010687318549,0.3901008969815533,43.63740296767154,60.32,134.9
64,2023-02-02,10:04:00,267.825,264.9094,3.037325,279.6491525423729,43.644067796610166,42.436440677966104,20.85593220338983,20.944915254237287,0.8000000000000002,0.37866016191200547,0.38962882085859724,43.415647223034796,60.17,135.1
65,2023-02-02,10:05:00,272.4331,269.4471,2.254086,298.46101694915257,44.09322033898305,42.73728813559322,21.008474576271187,21.233050847457626,1.12,0.5577155980694944,0.4006799291864656,43.194151891037706,60.01,135.3
66,2023-02-02,10:06:00,285.7371,282.4405,1.464588,310.1338983050847,44.186440677966104,42.78813559322034,21.23728813559322,21.36864406779661,1.12,0.5534979196032843,0.41285220447364135,42.972921108286485,59.86,135.5
67,2023-02-02,10:07:00,292.0429,287.4995,4.49516,302.96779661016944,44.24152542372882,43.563559322033896,21.26271186440678,21.5635593220339,1.12,0.27471339240210835,0.42534322317368334,42.75195909114108,59.71,135.7
68,2023-02-02,10:08:00,305.9368,300.2251,5.03301,300.74406779661024,44.75,43.720338983050844,21.173728813559322,21.61864406779661,1.12,0.4203105824089244,0.43315985263659995,42.53127013753238,59.56,135.9
69,2023-02-02,10:09:00,305.7858,301.6303,3.515319,310.47627118644067,45.26271186440678,44.36440677966102,21.156779661016948,21.800847457627118,1.12,0.3552038893156363,0.42762785477300547,42.310858628823595,59.41,136.2
70,2023-02-02,10:10:00,300.828,297.2793,2.128727,327.78474576271185,45.75847457627118,44.72457627118644,21.16949152542373,22.00423728813559,1.12,0.38723891012104816,0.42770634417661096,42.09072903171801,59.26,136.4
71,2023-02-02,10:11:00,308.5864,304.4811,3.647398,347.3796610169491,46.33474576271186,45.3728813559322,21.18220338983051,22.271186440677965,1.12,0.33994712268524707,0.436795044706197,41.87088590021351,59.11,136.6
72,2023-02-02,10:12:00,316.5091,311.1831,5.810652,378.71016949152545,46.72457627118644,45.855932203389834,21.190677966101696,22.478813559322035,1.12,0.2816087493139657,0.44874157062738884,41.651333877605445,58.96,136.8
73,2023-02-02,10:13:00,328.4731,323.1008,5.440126,380.06440677966106,47.30508474576271,46.29661016949152,21.097457627118644,22.61864406779661,1.12,0.32578481947391474,0.47014947967667364,41.432077698538805,58.81,137
74,2023-02-02,10:14:00,350.1856,341.597,10.80233,423.09152542372885,47.94915254237288,46.82627118644068,21.360169491525422,22.834745762711865,1.12,0.3258646919066119,0.489079028722027,41.21312219111101,58.66,137.2
75,2023-02-02,10:15:00,358.8042,349.8284,11.06586,493.21016949152545,48.69915254237288,47.49576271186441,21.78813559322034,23.06779661016949,1.12,0.29959274985294015,0.4979731514229624,40.99447227902617,58.52,137.5
76,2023-02-02,10:16:00,366.1223,348.9377,26.8601,493.25084745762706,49.46186440677966,48.11440677966102,21.949152542372882,23.31779661016949,1.12,0.33544746167631145,0.5299492374643983,40.77613298380277,58.37,137.7
77,2023-02-02,10:17:00,408.5735,372.3214,60.48061,496.2338983050848,50.21610169491525,48.80508474576271,22.36864406779661,23.5635593220339,1.12,0.3491770845912957,0.5613731453923089,40.558109427035205,58.22,137.9
78,2023-02-02,10:18:00,415.4496,383.5529,52.72558,538.3813559322034,51.01271186440678,49.483050847457626,22.550847457627118,23.81779661016949,1.12,0.3489232248678011,0.5683265235447893,40.34040683271088,58.08,138.1
79,2023-02-02,10:19:00,422.1927,388.8342,55.46014,532.4915254237288,52.067796610169495,50.182203389830505,22.529661016949152,23.95762711864407,1.12,0.4349021287763201,0.5899766921346864,40.12303052958423,57.93,138.4
80,2023-02-02,10:20:00,450.8806,398.6379,87.91863,464.2847457627118,52.860169491525426,51.02542372881356,22.83050847457627,24.046610169491526,1.12,0.48537659419845136,0.6261525244552744,39.90598595360855,57.79,138.6
81,2023-02-02,10:21:00,479.442,412.0824,110.2691,412.30847457627124,53.771186440677965,51.84322033898305,22.847457627118644,24.194915254237287,1.12,0.574380032535773,0.6066164060641187,39.68927865042754,57.65,138.8
82,2023-02-02,10:22:00,425.4312,393.8944,50.12693,424.6271186440677,54.766949152542374,52.77542372881356,23.13135593220339,24.334745762711865,1.12,0.5761577090291828,0.5370322889888693,39.47291427792711,57.5,139
83,2023-02-02,10:23:00,378.7924,365.3112,20.97628,483.78135593220344,55.70762711864407,53.58050847457627,23.338983050847457,24.444915254237287,1.12,0.5401880297175056,0.5081580345460006,39.25689860884973,57.36,139.3
84,2023-02-02,10:24:00,385.1505,366.8691,27.95775,607.6220338983052,56.228813559322035,54.563559322033896,23.385593220338983,24.60169491525424,1.12,0.3367319387709986,0.5368243990206707,39.04123753347179,57.22,139.5
85,2023-02-02,10:25:00,424.995,383.2221,67.34025,846.6779661016949,56.75,55.233050847457626,23.228813559322035,24.610169491525422,1.12,0.22014998635758337,0.6015263111801351,38.82593706234596,57.08,139.7
86,2023-02-02,10:26:00,486.2543,401.2301,141.269,536.9728813559321,57.33474576271186,55.73728813559322,23.072033898305083,24.73728813559322,1.12,0.3655693746709204,0.7329002887856205,38.61100332910964,56.94,140
87,2023-02-02,10:27:00,628.2007,435.8174,332.312,389.2881355932203,58.101694915254235,56.220338983050844,23.059322033898304,24.83050847457627,1.12,0.5939150689012898,0.7406580529351272,38.39644259336105,56.8,140.2
88,2023-02-02,10:28:00,502.2558,397.7689,167.5414,513.3898305084746,59.41949152542373,56.91101694915254,23.51271186440678,24.983050847457626,1.12,0.6005369911102089,0.5539657233740707,38.182261243603975,56.66,140.4
89,2023-02-02,10:29:00,346.3793,332.6907,18.13777,691.9372881355931,61.45762711864407,57.74576271186441,23.588983050847457,25.190677966101696,1.12,0.6594501202607652,0.5128575266819206,37.968465800263274,56.52,140.7
90,2023-02-02,10:30:00,442.1548,359.2531,131.3674,931.8491525423728,61.3771186440678,59.51271186440678,23.279661016949152,25.296610169491526,1.12,0.24597946611556115,0.6704811261260721,37.755062918771614,56.38,140.9
91,2023-02-02,10:31:00,592.4625,335.9314,421.573,852.6203389830508,61.92372881355932,60.30084745762712,22.923728813559322,25.377118644067796,1.12,0.23403121216222147,0.8244830394028059,37.54205939272986,56.25,141.1
92,2023-02-02,10:32:00,684.3533,267.2234,709.8773,938.4881355932202,62.79237288135593,60.559322033898304,22.96186440677966,25.508474576271187,1.12,0.2925810888308795,0.8743561886462249,37.32946215714149,56.11,141.4
93,2023-02-02,10:33:00,674.4991,222.4941,762.3394,949.4966101694914,64.30508474576271,61.20762711864407,23.114406779661017,25.53813559322034,1.12,0.40119420343508166,0.8639403710865418,37.11727829172308,55.98,141.6
94,2023-02-02,10:34:00,672.8781,198.0323,807.9667,922.9644067796609,66.52966101694915,62.25,23.372881355932204,25.64406779661017,1.12,0.570389238882767,0.8662181031797359,36.90551502429221,55.84,141.8
95,2023-02-02,10:35:00,682.7435,202.34,814.326,849.1355932203389,67.79661016949153,64.02542372881356,23.470338983050848,25.741525423728813,1.12,0.5464471610387996,0.8574818658000185,36.6941797342336,55.71,142.1
96,2023-02-02,10:36:00,663.8185,208.7621,768.0075,736.9932203389831,70.03813559322033,65.60169491525424,23.555084745762713,25.97457627118644,1.12,0.7408846409523758,0.8063120539193752,36.48327995604563,55.57,142.3
97,2023-02-02,10:37:00,606.6949,224.285,642.2905,836.6305084745763,71.72033898305085,67.19067796610169,23.52542372881356,26.084745762711865,1.12,0.6665446830269535,0.6932076505669812,36.27282338296753,55.44,142.6
98,2023-02-02,10:38:00,489.2753,230.0996,435.0099,940.177966101695,73.55932203389831,69.13559322033899,23.864406779661017,26.190677966101696,1.12,0.5794520108388276,0.740091062074257,36.062817870689685,55.31,142.8
99,2023-02-02,10:39:00,684.7152,207.2874,799.3226,720.8745762711865,74.79661016949153,70.69915254237289,23.966101694915253,26.385593220338983,1.12,0.7001683690561876,0.8528549688445776,35.853271441147115,55.18,143.1
100,2023-02-02,10:40:00,672.6086,179.5983,822.5284,786.0440677966102,75.63135593220339,72.13983050847457,23.978813559322035,26.39830508474576,1.12,0.5472762586298315,0.7957282863388359,35.64419228639839,55.05,143.3
101,2023-02-02,10:41:00,597.9271,182.0256,679.0759,404.5677966101696,77.29237288135593,73.29237288135593,24.029661016949152,26.639830508474578,1.12,1.2184921117622338,0.7291401205106185,35.43558877259016,54.92,143.5
102,2023-02-02,10:42:00,570.0435,185.5426,624.6497,892.5932203389831,78.99152542372882,74.32627118644068,24.449152542372882,26.75423728813559,1.12,0.6443052570970281,0.5842913068692936,35.227469444009294,54.79,143.8
103,2023-02-02,10:43:00,368.8889,202.4357,270.0965,924.8101694915256,79.45762711864407,76.07627118644068,24.296610169491526,26.906779661016948,1.12,0.450820357537899,0.6452102453142115,35.019843027222755,54.66,144
